                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2531,                 1.7209,                 1.2834,                0.56351,                0.40167,                0.43097,                0.29553,                 1.2135,                 1.4224,                 1.2498,              0.0075698,              0.0075698,              0.0075698
                     35,                  1.252,                 1.7157,                  1.281,                0.56794,                0.40013,                0.43169,                0.29614,                 1.2123,                 1.4203,                 1.2489,              0.0074347,              0.0074347,              0.0074347
                     36,                 1.2516,                 1.7153,                 1.2797,                0.56887,                0.39933,                0.43195,                0.29702,                 1.2114,                 1.4172,                 1.2477,              0.0072973,              0.0072973,              0.0072973
                     37,                 1.2493,                 1.7092,                 1.2781,                0.56942,                0.39853,                0.43275,                0.29731,                 1.2101,                 1.4149,                 1.2463,              0.0071576,              0.0071576,              0.0071576
                     38,                 1.2468,                 1.7071,                 1.2774,                0.56302,                0.40163,                0.43281,                0.29747,                 1.2086,                 1.4134,                 1.2451,              0.0070159,              0.0070159,              0.0070159
                     39,                 1.2467,                 1.7024,                  1.276,                0.56311,                0.40326,                0.43329,                0.29779,                 1.2073,                  1.412,                 1.2435,              0.0068722,              0.0068722,              0.0068722
                     40,                 1.2438,                 1.6943,                  1.274,                0.55971,                0.40402,                0.43283,                0.29775,                 1.2065,                 1.4107,                 1.2424,              0.0067268,              0.0067268,              0.0067268
                     40,                 1.2351,                 1.6731,                 1.2696,                0.56173,                0.40583,                0.43439,                 0.2988,                 1.2064,                 1.4097,                 1.2422,              0.0067268,              0.0067268,              0.0067268
                     41,                 1.2397,                 1.6854,                 1.2715,                0.55715,                0.40913,                0.43523,                0.29934,                 1.2064,                 1.4074,                 1.2415,              0.0065796,              0.0065796,              0.0065796
                     qat_1,                 1.2668,                 1.7486,                 1.2901,                0.50809,                0.34442,                0.35551,                0.23441,                 1.3206,                 1.6655,                 1.3138,                   0.01,                   0.01,                   0.01
                     qat_2,                 1.2753,                 1.7703,                 1.2969,                0.51499,                0.34943,                0.36059,                0.23797,                  1.314,                 1.6301,                  1.314,              0.0099384,              0.0099384,              0.0099384
                     qat_3,                 1.2752,                 1.7741,                 1.2971,                0.50625,                0.36009,                0.37449,                0.24947,                 1.2871,                 1.5826,                 1.3037,              0.0097553,              0.0097553,              0.0097553
                     qat_4,                 1.2713,                 1.7622,                 1.2936,                0.53049,                0.37582,                0.39144,                 0.2631,                 1.2704,                 1.5301,                 1.2829,              0.0094551,              0.0094551,              0.0094551
                     qat_5,                 1.2656,                 1.7493,                  1.291,                0.53881,                 0.3837,                0.40637,                0.27477,                  1.252,                 1.4916,                 1.2744,              0.0090452,              0.0090452,              0.0090452
                     qat_6,                 1.2605,                 1.7373,                 1.2867,                0.53362,                0.39883,                0.41342,                0.28038,                 1.2359,                 1.4637,                 1.2635,              0.0085357,              0.0085357,              0.0085357
                     qat_7,                 1.2565,                 1.7237,                 1.2834,                0.55277,                0.39639,                0.42343,                0.28829,                 1.2242,                 1.4416,                  1.253,              0.0079391,              0.0079391,              0.0079391
                     qat_8,                 1.2472,                 1.7092,                 1.2781,                0.57408,                0.39514,                0.42767,                0.29162,                 1.2178,                 1.4255,                 1.2493,              0.0072702,              0.0072702,              0.0072702
                     qat_9,                 1.2409,                 1.6892,                 1.2728,                0.56275,                  0.401,                0.43172,                0.29494,                 1.2122,                 1.4158,                 1.2446,              0.0065454,              0.0065454,              0.0065454
                     qat_10,                 1.2321,                 1.6704,                 1.2669,                0.57164,                0.40219,                0.43426,                0.29703,                 1.2073,                 1.4082,                 1.2407,              0.0057826,              0.0057826,              0.0057826
                     qat_11,                 1.2783,                 1.6221,                 1.3087,                0.55044,                0.41335,                0.43669,                 0.2998,                 1.2037,                 1.4027,                 1.2378,              0.0050005,              0.0050005,              0.0050005
                     qat_12,                  1.265,                 1.5852,                 1.3001,                0.55593,                 0.4129,                0.43811,                0.30156,                 1.2009,                 1.3981,                 1.2362,              0.0042184,              0.0042184,              0.0042184
                     qat_13,                 1.2516,                 1.5512,                 1.2887,                0.55681,                 0.4107,                0.43972,                0.30273,                 1.1981,                 1.3935,                 1.2341,              0.0034556,              0.0034556,              0.0034556
                     qat_14,                  1.238,                 1.5171,                 1.2801,                0.55592,                0.41572,                0.44252,                0.30486,                 1.1959,                 1.3888,                 1.2324,              0.0027308,              0.0027308,              0.0027308
                     qat_15,                 1.2258,                 1.4898,                 1.2701,                0.56619,                0.41264,                0.44453,                0.30641,                 1.1935,                 1.3844,                 1.2303,              0.0020619,              0.0020619,              0.0020619
                     qat_16,                 1.2131,                 1.4596,                 1.2615,                0.57308,                0.41093,                0.44627,                0.30807,                  1.192,                  1.381,                 1.2286,              0.0014653,              0.0014653,              0.0014653
                     qat_17,                 1.2041,                 1.4366,                 1.2536,                0.57275,                0.41319,                0.44805,                0.30956,                 1.1903,                 1.3773,                 1.2268,             0.00095582,             0.00095582,             0.00095582
                     qat_18,                 1.1952,                  1.417,                 1.2484,                0.57197,                0.41422,                0.44831,                0.30999,                  1.189,                 1.3745,                 1.2253,             0.00054591,             0.00054591,             0.00054591
                     qat_19,                 1.1896,                 1.4028,                 1.2442,                0.57369,                0.41563,                0.44933,                0.31083,                 1.1877,                 1.3719,                  1.224,             0.00024569,             0.00024569,             0.00024569
                     qat_20,                 1.1867,                 1.3956,                 1.2417,                0.57474,                0.41728,                0.45084,                 0.3119,                 1.1873,                 1.3699,                  1.223,             6.2552e-05,             6.2552e-05,             6.2552e-05qat_
